"","(Intercept)","LibraryLayoutSINGLE","conditionKD","deviance","converged","pval","padj"
"FBgn0000003",NA,NA,NA,NA,NA,NA,NA
"FBgn0000008",6.5710867650394,-0.228517947195998,-0.0257919500724544,2.42122225692207,TRUE,0.903747279734287,0.98155205557264
"FBgn0000014",2.33300390041239,-3.3535230653229,-0.0342354977208003,3.71166276453766,TRUE,0.979129147325161,1
"FBgn0000015",0.370280679873856,-2.33279232403652,1.47584629918049,2.52308390434434,TRUE,0.335760769124492,0.883495314882986
"FBgn0000017",12.1145523543536,-0.190230844906948,-0.283419030473334,4.01418492671454,TRUE,0.030011201893911,0.266299815831078
"FBgn0000018",8.49861191534163,0.160769979083697,-0.0641488834404054,1.18896969815682,TRUE,0.648454630471492,0.930169490963918
"FBgn0000022",-31.6639823475868,29.9837161907596,-29.7881510347303,0.2636572803681,TRUE,0.629542260261344,0.925295100942935
"FBgn0000024",2.49644558511452,-0.0339985473451311,0.107524562859152,2.7061411396044,TRUE,0.886046246763969,0.977851694631195
"FBgn0000028",-1.45115882251392,1.1275612741269,2.20539826436082,2.29558168516708,TRUE,0.247924787195763,0.809945755237803
"FBgn0000032",9.75151577215554,0.281682952341726,-0.045149199843013,3.88914474313479,TRUE,0.726229954805609,0.954023057941738
"FBgn0000036",-32.2447178313892,31.0370527501549,0.751253434242381,0.642381281467057,TRUE,0.873788548198852,0.975030872327257
"FBgn0000037",3.66671364433942,-0.280773346425777,0.314472188827706,2.43760285830066,TRUE,0.537836078257173,0.924449481453618
"FBgn0000038",NA,NA,NA,NA,NA,NA,NA
"FBgn0000039",-2.11417848276787,-0.307655011597985,1.71572278647113,2.13077016908579,TRUE,0.622429672238509,0.925295100942935
"FBgn0000042",15.9695653303979,0.106362120436938,0.270495176232443,4.04522127690871,TRUE,0.228496141570068,0.781391804213858
"FBgn0000043",14.539787242508,-0.070926738203785,0.601313487711665,4.01609379650927,TRUE,1.14027867137434e-05,0.000423897764976507
"FBgn0000044",3.87939885359329,0.982352461277567,0.552935891470891,3.63489903816684,TRUE,0.214127929223308,0.765445815959182
"FBgn0000045",2.62415757204053,-0.67017103777534,0.324933881479153,5.2818370576251,TRUE,0.783755442597098,0.961710899084992
"FBgn0000046",3.20512123005596,0.876043092944804,1.17139744148796,4.232742205494,TRUE,0.093582175774676,0.537023547841086
"FBgn0000047",2.28368994392487,-0.115841482616077,0.690117830504897,4.41120712845642,TRUE,0.347025463129669,0.883495314882986
"FBgn0000052",11.2339254909318,-0.253423900094479,-0.188557646380934,3.99006198467503,TRUE,0.143080448583049,0.657685219856689
"FBgn0000053",10.9131130081079,-0.353390788756983,0.251204491442126,2.11781696506772,TRUE,0.028309149427979,0.255282860223593
"FBgn0000054",9.30192580054834,0.00987283649044899,-0.0885006091106269,1.27172210564968,TRUE,0.491356782713354,0.904581192648993
"FBgn0000055",-68.9561979665093,33.9236337684043,34.576152551113,3.09826870831774e-10,TRUE,0.433291482215603,0.883495314882986
"FBgn0000056",NA,NA,NA,NA,NA,NA,NA
"FBgn0000057",9.37625608891268,-0.173658589661371,-0.039571863886579,1.07132422893546,TRUE,0.758295019510044,0.960944125797314
"FBgn0000061",0.735563691026877,-0.996742673153887,0.873426049067305,3.06480129485947,TRUE,0.507586959015915,0.908767384781233
"FBgn0000063",8.37726535236293,0.112854767496248,0.225117813786579,0.725725594750503,TRUE,0.110338885698636,0.584291024959457
"FBgn0000064",12.779450516153,-0.151656552020258,0.277258732826893,0.397286909067901,TRUE,0.010940072563585,0.133234828326907
"FBgn0000071",6.69255507231695,-0.348506012378488,2.64573053712696,1.6928087166088,TRUE,0,0
"FBgn0000075",1.23286919763568,-0.277176493181678,-0.763331909669046,0.486369894630768,TRUE,0.564617952610983,0.925295100942935
"FBgn0000077",7.6962590945515,-0.0923150554960331,-0.0360497780902832,2.57815576791856,TRUE,0.826460150293362,0.964174076504642
"FBgn0000078",4.42152487810213,0.36607625738595,-1.34679050400522,4.09649704091338,TRUE,0.00325706863074604,0.0520301848219319
"FBgn0000079",7.07148187553061,-0.217526496850036,-1.36729596845285,0.971652176562154,TRUE,7.65885910247732e-10,6.73504223556471e-08
"FBgn0000083",12.402196505854,-0.222747972396753,-0.0147637378955094,0.843079290729179,TRUE,0.893664583785032,0.97864102538513
"FBgn0000084",10.9736997663521,-0.282629846557939,-0.238483615727355,3.99219840308376,TRUE,0.0413879656854336,0.330455823703797
"FBgn0000092",3.39983284143328,-0.332204043469143,0.59709743016496,0.287362412332221,TRUE,0.243919011582062,0.805105981506041
"FBgn0000094",4.10817824510329,0.0502574174513228,0.443858645833055,4.22122907940559,TRUE,0.431794506551393,0.883495314882986
"FBgn0000097",11.4306351788633,-0.0634265138920716,0.0162621153890961,4.02110762040363,TRUE,0.897373160508425,0.979071204726869
"FBgn0000099",0.800240692432976,0.109463405503539,-0.303731362273508,3.4020093640139,TRUE,0.822799559503172,0.963054634039374
"FBgn0000100",14.7173865167573,-0.27323618097167,-0.200071022544438,1.05485363835032,TRUE,0.0650949294294023,0.430064997489279
"FBgn0000108",5.7137474726828,-0.486846986507729,0.0972336483855302,4.16198180088931,TRUE,0.779411595333938,0.961710899084992
"FBgn0000109",6.78388696114734,0.513932943397842,-0.192508408310936,3.89308656504449,TRUE,0.477751553188339,0.896359487993944
"FBgn0000114",1.23647353002779,0.988611067838274,0.71522724643994,4.04793243890056,TRUE,0.404607059565806,0.883495314882986
"FBgn0000115",9.01509418632653,-0.0357782052215115,0.0967906610178362,1.18471766959343,TRUE,0.463223760576588,0.890260418547068
"FBgn0000116",8.72589427049379,-0.465645593453491,1.21350486143412,4.00489049182235,TRUE,8.17856893320368e-12,1.0751023965699e-09
"FBgn0000117",13.3105491158639,-0.228718278085392,0.110991199278059,0.877086934741627,TRUE,0.308876336638172,0.862378403431865
"FBgn0000119",9.29579496793599,-0.0943480342922728,-0.120909117975488,1.27573402278012,TRUE,0.348761903515385,0.883495314882986
"FBgn0000120",NA,NA,NA,NA,NA,NA,NA
"FBgn0000121",2.74050194956576,0.674975635501708,0.202744146689115,1.16705371300734,TRUE,0.731722967248249,0.955561003038877
"FBgn0000137",-68.9561979665093,33.9236337684043,34.576152551113,3.09826870831774e-10,TRUE,0.433291482215603,0.883495314882986
"FBgn0000139",9.41312343536304,0.0638408880667525,-0.461015628560114,2.34191268629928,TRUE,0.000414123392821986,0.0097425966455224
"FBgn0000140",9.6233671853289,0.210019013725915,0.0977080469494371,3.76372613000761,TRUE,0.427947470317429,0.883495314882986
"FBgn0000146",10.2557861733359,0.145172359793878,0.476789619445776,0.80473934377693,TRUE,3.71323552255109e-05,0.00125590095883419
"FBgn0000147",8.39787899347151,-0.0192793941142109,0.408206872879106,2.78671732221602,TRUE,0.00326030253883802,0.0520301848219319
"FBgn0000150",13.0307841156983,-0.347820625718364,0.22925973242763,2.18631833874775,TRUE,0.0351474815807551,0.297784410389507
"FBgn0000152",7.5013825954646,-0.225278200334568,0.104808600263287,1.43944626321691,TRUE,0.534531348088744,0.922473894225968
"FBgn0000153",4.79029987922086,-0.323221189542365,-0.0810112731507523,1.68534502656653,TRUE,0.823994695112021,0.963568998291763
"FBgn0000157",-34.4548124317353,34.546272165812,-34.1834817788962,0.00803974841486982,TRUE,0.370568787076598,0.883495314882986
"FBgn0000158",2.22905596389249,0.492926859497401,0.14034894510318,0.617738060211127,TRUE,0.852500493288314,0.970729933016546
"FBgn0000163",9.85836009420619,-0.340044137711883,-0.15450524017122,4.04181520651187,TRUE,0.223703111537999,0.77723116491036
"FBgn0000166",-33.3416264555178,33.8090328009158,0.076182007610054,0.0804845211109084,TRUE,0.97968122479643,1
"FBgn0000173",10.3847221408785,0.0913226168595355,0.149339605221632,3.11412555395411,TRUE,0.198278672202172,0.743288206669491
"FBgn0000179",-0.678866978604653,0.726771924490521,0.956868162500977,4.20890072730179,TRUE,0.563031169045288,0.925295100942935
"FBgn0000180",4.36131787313635,-0.495151298311681,0.442735355200481,0.265859666791566,TRUE,0.261794943864397,0.822557899340935
"FBgn0000181",13.6639531117533,-0.0664109731305717,-0.166306005729907,2.72388274085301,TRUE,0.127264178365246,0.619132216076019
"FBgn0000182",2.299430193175,-0.56803426527505,-0.371220532678683,0.759388282647395,TRUE,0.686074577507687,0.942382520499893
"FBgn0000183",11.234555896946,0.080676269514203,0.00789229418159054,0.562878966443052,TRUE,0.944205619245033,0.993464999653532
"FBgn0000206",NA,NA,NA,NA,NA,NA,NA
"FBgn0000210",10.9193474610134,-0.0534883968401401,-0.0429333738301887,4.04110733993347,TRUE,0.757136394388952,0.960944125797314
"FBgn0000212",11.5688202899574,-0.135620598503246,0.0773251956390485,1.91787372171378,TRUE,0.492213338498976,0.904581192648993
"FBgn0000216",-0.674744225884434,-32.2922821290316,-31.6381070526348,0.436147723904543,TRUE,0.409100423465231,0.883495314882986
"FBgn0000221",7.76719918199789,-0.269012242364859,-0.284043443827752,0.676450560219459,TRUE,0.0900070792257942,0.52238519217483
"FBgn0000227",NA,NA,NA,NA,NA,NA,NA
"FBgn0000228",9.60629650811164,-0.149459087920192,-0.149327076709917,2.02309575118739,TRUE,0.23836456920626,0.797529945407773
"FBgn0000229",9.55262977770512,0.498618852126971,-0.0608187110029771,2.97419728867495,TRUE,0.618147836191553,0.925295100942935
